Prey, 733, Predator,391, Grass,0
Prey, 759, Predator,384, Grass,0
Prey, 783, Predator,389, Grass,0
Prey, 805, Predator,385, Grass,0
Prey, 847, Predator,377, Grass,0
Prey, 885, Predator,376, Grass,0
Prey, 913, Predator,385, Grass,0
Prey, 944, Predator,384, Grass,0
Prey, 991, Predator,389, Grass,0
Prey, 1037, Predator,398, Grass,0
Prey, 1075, Predator,388, Grass,0
Prey, 1126, Predator,387, Grass,0
Prey, 1169, Predator,377, Grass,0
Prey, 1220, Predator,384, Grass,0
Prey, 1282, Predator,376, Grass,0
Prey, 1341, Predator,372, Grass,0
Prey, 1413, Predator,359, Grass,0
Prey, 1463, Predator,361, Grass,0
Prey, 1524, Predator,363, Grass,0
Prey, 1603, Predator,363, Grass,0
Prey, 1685, Predator,342, Grass,0
Prey, 1766, Predator,336, Grass,0
Prey, 1851, Predator,330, Grass,0
Prey, 1932, Predator,318, Grass,0
Prey, 2019, Predator,312, Grass,0
Prey, 2127, Predator,303, Grass,0
Prey, 2229, Predator,299, Grass,0
Prey, 2321, Predator,296, Grass,0
Prey, 2440, Predator,293, Grass,0
Prey, 2551, Predator,287, Grass,0
Prey, 2661, Predator,286, Grass,0
Prey, 2790, Predator,279, Grass,0
Prey, 2923, Predator,279, Grass,0
Prey, 3058, Predator,268, Grass,0
Prey, 3211, Predator,270, Grass,0
Prey, 3381, Predator,264, Grass,0
Prey, 3563, Predator,264, Grass,0
Prey, 3744, Predator,260, Grass,0
Prey, 3925, Predator,251, Grass,0
Prey, 4108, Predator,248, Grass,0
Prey, 4301, Predator,251, Grass,0
Prey, 4533, Predator,253, Grass,0
Prey, 4752, Predator,254, Grass,0
Prey, 4991, Predator,258, Grass,0
Prey, 5252, Predator,261, Grass,0
Prey, 5486, Predator,263, Grass,0
Prey, 5755, Predator,264, Grass,0
Prey, 6009, Predator,255, Grass,0
Prey, 6295, Predator,242, Grass,0
Prey, 6610, Predator,245, Grass,0
Prey, 6940, Predator,240, Grass,0
Prey, 7268, Predator,232, Grass,0
Prey, 7629, Predator,227, Grass,0
Prey, 8003, Predator,225, Grass,0
Prey, 8430, Predator,221, Grass,0
Prey, 8845, Predator,220, Grass,0
Prey, 9271, Predator,220, Grass,0
Prey, 9729, Predator,216, Grass,0
Prey, 10216, Predator,215, Grass,0
Prey, 10749, Predator,214, Grass,0
Prey, 11259, Predator,216, Grass,0
Prey, 11816, Predator,219, Grass,0
Prey, 12376, Predator,218, Grass,0
Prey, 12954, Predator,220, Grass,0
Prey, 13572, Predator,212, Grass,0
Prey, 14265, Predator,200, Grass,0
Prey, 14968, Predator,194, Grass,0
Prey, 15721, Predator,192, Grass,0
Prey, 16516, Predator,191, Grass,0
Prey, 17335, Predator,193, Grass,0
Prey, 18243, Predator,189, Grass,0
Prey, 19156, Predator,186, Grass,0
Prey, 20088, Predator,181, Grass,0
Prey, 21130, Predator,185, Grass,0
Prey, 22171, Predator,179, Grass,0
Prey, 23283, Predator,184, Grass,0
Prey, 24421, Predator,186, Grass,0
Prey, 25629, Predator,179, Grass,0
Prey, 26872, Predator,176, Grass,0
Prey, 28159, Predator,176, Grass,0
Prey, 29570, Predator,173, Grass,0
Prey, 31037, Predator,169, Grass,0
Prey, 32581, Predator,172, Grass,0
Prey, 34201, Predator,169, Grass,0
Prey, 35904, Predator,169, Grass,0
Prey, 37667, Predator,164, Grass,0
Prey, 39578, Predator,165, Grass,0
Prey, 41573, Predator,161, Grass,0
Prey, 43590, Predator,160, Grass,0
Prey, 45701, Predator,159, Grass,0
Prey, 48034, Predator,155, Grass,0
Prey, 50438, Predator,154, Grass,0
Prey, 52980, Predator,159, Grass,0
Prey, 55637, Predator,153, Grass,0
Prey, 58448, Predator,150, Grass,0
Prey, 61361, Predator,147, Grass,0
Prey, 64376, Predator,148, Grass,0
Prey, 67496, Predator,147, Grass,0
Prey, 70897, Predator,140, Grass,0
Prey, 74366, Predator,136, Grass,0
