Prey ,800, Predator ,400, Grass ,0
Prey ,739, Predator ,388, Grass ,0
Prey ,765, Predator ,393, Grass ,0
Prey ,789, Predator ,394, Grass ,0
Prey ,818, Predator ,398, Grass ,0
Prey ,840, Predator ,393, Grass ,0
Prey ,878, Predator ,391, Grass ,0
Prey ,903, Predator ,395, Grass ,0
Prey ,934, Predator ,397, Grass ,0
Prey ,971, Predator ,393, Grass ,0
Prey ,1002, Predator ,394, Grass ,0
Prey ,1037, Predator ,394, Grass ,0
Prey ,1075, Predator ,399, Grass ,0
Prey ,1101, Predator ,398, Grass ,0
Prey ,1143, Predator ,395, Grass ,0
Prey ,1190, Predator ,384, Grass ,0
Prey ,1240, Predator ,376, Grass ,0
Prey ,1295, Predator ,380, Grass ,0
Prey ,1329, Predator ,371, Grass ,0
Prey ,1393, Predator ,372, Grass ,0
Prey ,1433, Predator ,379, Grass ,0
Prey ,1470, Predator ,381, Grass ,0
Prey ,1523, Predator ,384, Grass ,0
Prey ,1569, Predator ,384, Grass ,0
Prey ,1628, Predator ,388, Grass ,0
Prey ,1683, Predator ,398, Grass ,0
Prey ,1742, Predator ,396, Grass ,0
Prey ,1796, Predator ,401, Grass ,0
Prey ,1857, Predator ,406, Grass ,0
Prey ,1922, Predator ,409, Grass ,0
Prey ,2002, Predator ,411, Grass ,0
Prey ,2063, Predator ,423, Grass ,0
Prey ,2138, Predator ,432, Grass ,0
Prey ,2244, Predator ,433, Grass ,0
Prey ,2320, Predator ,439, Grass ,0
Prey ,2371, Predator ,444, Grass ,0
Prey ,2443, Predator ,456, Grass ,0
Prey ,2517, Predator ,454, Grass ,0
Prey ,2612, Predator ,457, Grass ,0
Prey ,2696, Predator ,467, Grass ,0
Prey ,2780, Predator ,480, Grass ,0
Prey ,2859, Predator ,485, Grass ,0
Prey ,2935, Predator ,502, Grass ,0
Prey ,3020, Predator ,511, Grass ,0
Prey ,3111, Predator ,527, Grass ,0
Prey ,3219, Predator ,539, Grass ,0
Prey ,3300, Predator ,556, Grass ,0
Prey ,3397, Predator ,570, Grass ,0
Prey ,3492, Predator ,592, Grass ,0
Prey ,3592, Predator ,608, Grass ,0
Prey ,3699, Predator ,621, Grass ,0
Prey ,3776, Predator ,638, Grass ,0
Prey ,3881, Predator ,661, Grass ,0
Prey ,3963, Predator ,677, Grass ,0
Prey ,4055, Predator ,686, Grass ,0
Prey ,4157, Predator ,706, Grass ,0
Prey ,4219, Predator ,727, Grass ,0
Prey ,4320, Predator ,742, Grass ,0
Prey ,4411, Predator ,770, Grass ,0
Prey ,4482, Predator ,785, Grass ,0
Prey ,4595, Predator ,803, Grass ,0
Prey ,4691, Predator ,832, Grass ,0
Prey ,4758, Predator ,851, Grass ,0
Prey ,4836, Predator ,877, Grass ,0
Prey ,4899, Predator ,899, Grass ,0
Prey ,5015, Predator ,920, Grass ,0
Prey ,5083, Predator ,938, Grass ,0
Prey ,5163, Predator ,971, Grass ,0
Prey ,5189, Predator ,995, Grass ,0
Prey ,5321, Predator ,1013, Grass ,0
Prey ,5417, Predator ,1045, Grass ,0
Prey ,5487, Predator ,1073, Grass ,0
Prey ,5553, Predator ,1108, Grass ,0
Prey ,5584, Predator ,1137, Grass ,0
Prey ,5628, Predator ,1163, Grass ,0
Prey ,5661, Predator ,1200, Grass ,0
Prey ,5671, Predator ,1230, Grass ,0
Prey ,5736, Predator ,1265, Grass ,0
Prey ,5728, Predator ,1300, Grass ,0
Prey ,5741, Predator ,1343, Grass ,0
Prey ,5709, Predator ,1382, Grass ,0
Prey ,5699, Predator ,1427, Grass ,0
Prey ,5674, Predator ,1466, Grass ,0
Prey ,5624, Predator ,1502, Grass ,0
Prey ,5607, Predator ,1543, Grass ,0
Prey ,5580, Predator ,1597, Grass ,0
Prey ,5452, Predator ,1637, Grass ,0
Prey ,5393, Predator ,1688, Grass ,0
Prey ,5292, Predator ,1748, Grass ,0
Prey ,5181, Predator ,1797, Grass ,0
Prey ,5123, Predator ,1847, Grass ,0
Prey ,4985, Predator ,1886, Grass ,0
Prey ,4852, Predator ,1948, Grass ,0
Prey ,4772, Predator ,2013, Grass ,0
Prey ,4612, Predator ,2075, Grass ,0
Prey ,4505, Predator ,2137, Grass ,0
Prey ,4362, Predator ,2196, Grass ,0
Prey ,4177, Predator ,2261, Grass ,0
Prey ,4059, Predator ,2327, Grass ,0
Prey ,3910, Predator ,2405, Grass ,0
Prey ,3746, Predator ,2477, Grass ,0
